Rank,Team,Elo,Matches
1,Arsenal,1779.3,204
2,Man City,1751.02,204
3,Liverpool,1698.54,204
4,Aston Villa,1644.26,204
5,Chelsea,1628.33,204
6,Crystal Palace,1613.93,204
7,Newcastle,1604.36,204
8,Brighton,1595.42,204
9,Sunderland,1569.64,14
10,Brentford,1556.18,166
11,Bournemouth,1544.06,128
12,Everton,1542.95,204
13,Man United,1534.33,204
14,Fulham,1515.84,166
15,Nott'm Forest,1515.17,128
16,Tottenham,1511.71,204
17,West Ham,1452.75,204
18,Leeds,1392.21,128
19,Wolves,1369.64,204
20,Burnley,1349.16,128
